epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6906,1.59192,4.64687,1.33254,0.00073,0.2,0.199,0.0398,1.04703,4.38644,1.14355,3.333e-05,3.333e-05,3.333e-05
2,32.6915,1.42496,4.67837,1.2099,0.0008,0.2,0.199,0.0398,0.96406,4.38774,1.12819,7.00708e-05,7.00708e-05,7.00708e-05
3,41.2123,1.48858,4.38714,1.20836,0.00084,0.2,0.199,0.0398,0.93553,4.38062,1.12045,9.80124e-05,9.80124e-05,9.80124e-05
4,49.7215,1.36679,4.30109,1.18331,0.00088,0.2,0.199,0.0398,0.94658,4.35392,1.13339,0.000117155,0.000117155,0.000117155
5,58.0148,1.32925,4.27848,1.0931,0.00089,0.2,0.199,0.0398,1.03271,4.33209,1.14808,0.000127498,0.000127498,0.000127498
6,66.3392,1.14082,3.97862,1.10685,0.00295,0.35,0.20312,0.04205,0.98936,4.3437,1.11231,0.000129043,0.000129043,0.000129043
7,74.8068,1.12203,3.82043,1.08316,0.00295,0.35,0.20312,0.04205,0.98936,4.3437,1.11231,0.000121788,0.000121788,0.000121788
8,83.9696,1.14337,3.75748,1.11537,0.00459,0.5,0.25762,0.05719,1.02481,4.28832,1.09863,0.000105734,0.000105734,0.000105734
9,92.2299,1.22789,3.76453,1.05792,0.00436,0.5,0.29033,0.08798,1.11146,4.25093,1.11159,8.08808e-05,8.08808e-05,8.08808e-05
10,100.65,1.34917,3.88541,1.15575,0.00436,0.5,0.29033,0.08798,1.11146,4.25093,1.11159,4.72286e-05,4.72286e-05,4.72286e-05
